"pollscore","pct","pollster","answer","end_date","sample_size","transparency_score"
-0.3,44,"Morning Consult","Trump","8/10/24",4000,3
-0.3,49,"Morning Consult","Harris","8/10/24",10112,3
-0.3,45,"Morning Consult","Trump","8/10/24",10112,3
-0.3,48,"Morning Consult","Harris","8/9/24",4000,3
-0.3,44,"Morning Consult","Trump","8/9/24",4000,3
-0.3,50,"Morning Consult","Harris","8/9/24",9795,3
-0.3,45,"Morning Consult","Trump","8/9/24",9795,3
-1.5,49,"Siena/NYT","Harris","8/9/24",693,9
-1.5,46,"Siena/NYT","Trump","8/9/24",693,9
-1.5,50,"Siena/NYT","Harris","8/9/24",693,9
-1.5,46,"Siena/NYT","Trump","8/9/24",693,9
-1.5,45,"Siena/NYT","Harris","8/9/24",693,9
-1.5,43,"Siena/NYT","Trump","8/9/24",693,9
-1.5,5,"Siena/NYT","Kennedy","8/9/24",693,9
-1.5,2,"Siena/NYT","Stein","8/9/24",693,9
-1.5,0,"Siena/NYT","West","8/9/24",693,9
-1.5,1,"Siena/NYT","Oliver","8/9/24",693,9
-1.5,46,"Siena/NYT","Harris","8/9/24",693,9
-1.5,44,"Siena/NYT","Trump","8/9/24",693,9
-1.5,4,"Siena/NYT","Kennedy","8/9/24",693,9
-1.5,1,"Siena/NYT","Stein","8/9/24",693,9
-1.5,0,"Siena/NYT","West","8/9/24",693,9
-1.5,0,"Siena/NYT","Oliver","8/9/24",693,9
-1.1,46,"YouGov Blue","Harris","8/9/24",802,9
-1.1,46,"YouGov Blue","Trump","8/9/24",802,9
-1.1,2,"YouGov Blue","Kennedy","8/9/24",802,9
-1.1,0,"YouGov Blue","West","8/9/24",802,9
-1.1,0,"YouGov Blue","Stein","8/9/24",802,9
-1.1,0,"YouGov Blue","Oliver","8/9/24",802,9
-0.1,25,"HarrisX","Harris","8/9/24",800,6
-0.1,51,"HarrisX","Trump","8/9/24",800,6
-0.1,15,"HarrisX","Kennedy","8/9/24",800,6
-0.1,28,"HarrisX","Harris","8/9/24",800,6
-0.1,60,"HarrisX","Trump","8/9/24",800,6
-0.3,49,"InsiderAdvantage","Harris","8/8/24",800,5
-0.3,47,"InsiderAdvantage","Trump","8/8/24",800,5
0.6,44.4,"Trafalgar Group","Harris","8/8/24",1078,4
0.6,45.9,"Trafalgar Group","Trump","8/8/24",1078,4
0.6,3.8,"Trafalgar Group","Kennedy","8/8/24",1078,4
0.6,46.5,"Trafalgar Group","Harris","8/8/24",1092,4
0.6,47.7,"Trafalgar Group","Trump","8/8/24",1092,4
0.6,3.3,"Trafalgar Group","Kennedy","8/8/24",1092,4
0.6,44.8,"Trafalgar Group","Harris","8/8/24",1087,4
0.6,48.2,"Trafalgar Group","Trump","8/8/24",1087,4
0.6,3,"Trafalgar Group","Kennedy","8/8/24",1087,4
0.6,45.2,"Trafalgar Group","Harris","8/8/24",1082,4
0.6,48.9,"Trafalgar Group","Trump","8/8/24",1082,4
0.6,3.2,"Trafalgar Group","Kennedy","8/8/24",1082,4
-0.3,48,"Morning Consult","Harris","8/8/24",4000,3
-0.3,44,"Morning Consult","Trump","8/8/24",4000,3
-0.3,50,"Morning Consult","Harris","8/8/24",9715,3
-0.3,45,"Morning Consult","Trump","8/8/24",9715,3
1.6,44,"McLaughlin","Harris","8/8/24",800,4
1.6,52,"McLaughlin","Trump","8/8/24",800,4
1.6,3,"McLaughlin","Kennedy","8/8/24",800,4
-1.1,47.6,"Cygnal","Harris","8/8/24",1500,4
-1.1,47,"Cygnal","Trump","8/8/24",1500,4
-1.1,44.2,"Cygnal","Harris","8/8/24",1500,4
-1.1,44.4,"Cygnal","Trump","8/8/24",1500,4
-1.1,4.9,"Cygnal","Kennedy","8/8/24",1500,4
-1.1,1.1,"Cygnal","Stein","8/8/24",1500,4
-1.1,1.4,"Cygnal","West","8/8/24",1500,4
-1.5,45,"Siena/NYT","Harris","8/8/24",619,9
-1.5,48,"Siena/NYT","Trump","8/8/24",619,9
-1.5,50,"Siena/NYT","Harris","8/8/24",619,9
-1.5,46,"Siena/NYT","Trump","8/8/24",619,9
-1.5,44,"Siena/NYT","Harris","8/8/24",619,9
-1.5,43,"Siena/NYT","Trump","8/8/24",619,9
-1.5,5,"Siena/NYT","Kennedy","8/8/24",619,9
-1.5,1,"Siena/NYT","Stein","8/8/24",619,9
-1.5,0,"Siena/NYT","West","8/8/24",619,9
-1.5,0,"Siena/NYT","Oliver","8/8/24",619,9
-1.5,48,"Siena/NYT","Harris","8/8/24",619,9
-1.5,43,"Siena/NYT","Trump","8/8/24",619,9
-1.5,4,"Siena/NYT","Kennedy","8/8/24",619,9
-1.5,1,"Siena/NYT","Stein","8/8/24",619,9
-1.5,0,"Siena/NYT","West","8/8/24",619,9
-1.5,0,"Siena/NYT","Oliver","8/8/24",619,9
-1.5,50,"Siena/NYT","Harris","8/8/24",661,9
-1.5,46,"Siena/NYT","Trump","8/8/24",661,9
-1.5,50,"Siena/NYT","Harris","8/8/24",661,9
-1.5,46,"Siena/NYT","Trump","8/8/24",661,9
-1.5,49,"Siena/NYT","Harris","8/8/24",661,9
-1.5,42,"Siena/NYT","Trump","8/8/24",661,9
-1.5,6,"Siena/NYT","Kennedy","8/8/24",661,9
-1.5,0,"Siena/NYT","Stein","8/8/24",661,9
-1.5,0,"Siena/NYT","West","8/8/24",661,9
-1.5,0,"Siena/NYT","Oliver","8/8/24",661,9
-1.5,49,"Siena/NYT","Harris","8/8/24",661,9
-1.5,43,"Siena/NYT","Trump","8/8/24",661,9
-1.5,5,"Siena/NYT","Kennedy","8/8/24",661,9
-1.5,0,"Siena/NYT","Stein","8/8/24",661,9
-1.5,0,"Siena/NYT","West","8/8/24",661,9
-1.5,0,"Siena/NYT","Oliver","8/8/24",661,9
0.3,45,"Navigator","Harris","8/8/24",600,4.5
0.3,46,"Navigator","Trump","8/8/24",600,4.5
0.3,5,"Navigator","Kennedy","8/8/24",600,4.5
0.3,0,"Navigator","Stein","8/8/24",600,4.5
0.3,0,"Navigator","West","8/8/24",600,4.5
0.3,0,"Navigator","Oliver","8/8/24",600,4.5
0.3,46,"Navigator","Harris","8/8/24",600,4.5
0.3,49,"Navigator","Trump","8/8/24",600,4.5
0.3,44,"Navigator","Harris","8/8/24",600,4.5
0.3,44,"Navigator","Trump","8/8/24",600,4.5
0.3,5,"Navigator","Kennedy","8/8/24",600,4.5
0.3,0,"Navigator","Stein","8/8/24",600,4.5
0.3,1,"Navigator","West","8/8/24",600,4.5
0.3,0,"Navigator","Oliver","8/8/24",600,4.5
0.3,47,"Navigator","Harris","8/8/24",600,4.5
0.3,46,"Navigator","Trump","8/8/24",600,4.5
0.3,46,"Navigator","Harris","8/8/24",600,4.5
0.3,46,"Navigator","Trump","8/8/24",600,4.5
0.3,3,"Navigator","Kennedy","8/8/24",600,4.5
0.3,1,"Navigator","Stein","8/8/24",600,4.5
0.3,0,"Navigator","West","8/8/24",600,4.5
0.3,0,"Navigator","Oliver","8/8/24",600,4.5
0.3,46,"Navigator","Harris","8/8/24",600,4.5
0.3,48,"Navigator","Trump","8/8/24",600,4.5
0.3,44,"Navigator","Harris","8/8/24",600,4.5
0.3,46,"Navigator","Trump","8/8/24",600,4.5
0.3,5,"Navigator","Kennedy","8/8/24",600,4.5
0.3,1,"Navigator","Stein","8/8/24",600,4.5
0.3,1,"Navigator","West","8/8/24",600,4.5
0.3,1,"Navigator","Oliver","8/8/24",600,4.5
0.3,46,"Navigator","Harris","8/8/24",600,4.5
0.3,48,"Navigator","Trump","8/8/24",600,4.5
0.3,45,"Navigator","Harris","8/8/24",600,4.5
0.3,45,"Navigator","Trump","8/8/24",600,4.5
0.3,5,"Navigator","Kennedy","8/8/24",600,4.5
0.3,1,"Navigator","Stein","8/8/24",600,4.5
0.3,1,"Navigator","West","8/8/24",600,4.5
0.3,1,"Navigator","Oliver","8/8/24",600,4.5
0.3,48,"Navigator","Harris","8/8/24",600,4.5
0.3,48,"Navigator","Trump","8/8/24",600,4.5
0.4,47,"Redfield & Wilton Strategies","Harris","8/7/24",2584,9
0.4,44,"Redfield & Wilton Strategies","Trump","8/7/24",2584,9
0.4,4,"Redfield & Wilton Strategies","Kennedy","8/7/24",2584,9
0.4,1,"Redfield & Wilton Strategies","Oliver","8/7/24",2584,9
0.4,0,"Redfield & Wilton Strategies","Stein","8/7/24",2584,9
-0.3,48.3,"InsiderAdvantage","Harris","8/7/24",800,5
-0.3,48.6,"InsiderAdvantage","Trump","8/7/24",800,5
-0.4,47,"RMG Research","Harris","8/7/24",2000,5
-0.4,46,"RMG Research","Trump","8/7/24",2000,5
-0.4,2,"RMG Research","Kennedy","8/7/24",2000,5
-0.3,48,"Morning Consult","Harris","8/7/24",4000,3
-0.3,44,"Morning Consult","Trump","8/7/24",4000,3
-0.3,50,"Morning Consult","Harris","8/7/24",9682,3
-0.3,45,"Morning Consult","Trump","8/7/24",9682,3
-0.9,42,"Ipsos","Harris","8/7/24",1342,9.5
-0.9,37,"Ipsos","Trump","8/7/24",1342,9.5
-0.9,4,"Ipsos","Kennedy","8/7/24",1342,9.5
-0.9,49,"Ipsos","Harris","8/7/24",1342,9.5
-0.9,47,"Ipsos","Trump","8/7/24",1342,9.5
-1.1,42.5,"Emerson","Harris","8/6/24",1000,7
-1.1,57.5,"Emerson","Trump","8/6/24",1000,7
-1.1,39,"Emerson","Harris","8/6/24",1000,7
-1.1,53.5,"Emerson","Trump","8/6/24",1000,7
-1.1,4.6,"Emerson","Kennedy","8/6/24",1000,7
-1.1,0.1,"Emerson","West","8/6/24",1000,7
-1.1,0.1,"Emerson","Stein","8/6/24",1000,7
-1.1,0.1,"Emerson","Oliver","8/6/24",1000,7
-1.1,45,"YouGov","Harris","8/6/24",1413,9
-1.1,43,"YouGov","Trump","8/6/24",1413,9
-1.1,2,"YouGov","Kennedy","8/6/24",1413,9
-1.1,0,"YouGov","West","8/6/24",1413,9
-1.1,1,"YouGov","Stein","8/6/24",1413,9
-0.3,48,"Morning Consult","Harris","8/6/24",4000,3
-0.3,44,"Morning Consult","Trump","8/6/24",4000,3
-0.3,49,"Morning Consult","Harris","8/6/24",10013,3
-0.3,45,"Morning Consult","Trump","8/6/24",10013,3
-1.1,44.1,"Cygnal","Harris","8/5/24",600,4
-1.1,47.2,"Cygnal","Trump","8/5/24",600,4
-1.1,3.6,"Cygnal","Kennedy","8/5/24",600,4
-1.1,0.6,"Cygnal","Oliver","8/5/24",600,4
-1.1,0,"Cygnal","Terry","8/5/24",600,4
-1.1,0.4,"Cygnal","Stein","8/5/24",600,4
-0.3,47,"Morning Consult","Harris","8/5/24",4000,3
-0.3,44,"Morning Consult","Trump","8/5/24",4000,3
-0.3,49,"Morning Consult","Harris","8/5/24",10206,3
-0.3,45,"Morning Consult","Trump","8/5/24",10206,3
-1.3,48,"SurveyUSA","Harris","8/5/24",1510,8
-1.3,45,"SurveyUSA","Trump","8/5/24",1510,8
-0.4,48,"RMG Research","Harris","8/5/24",800,5
-0.4,45,"RMG Research","Trump","8/5/24",800,5
0.7,42,"Peak Insights","Harris","8/5/24",800,1
0.7,44,"Peak Insights","Trump","8/5/24",800,1
0.7,11,"Peak Insights","Kennedy","8/5/24",800,1
-0.3,44.4,"HighGround","Harris","8/5/24",500,3.5
-0.3,41.6,"HighGround","Trump","8/5/24",500,3.5
-0.3,48,"Morning Consult","Harris","8/4/24",11265,3
-0.3,44,"Morning Consult","Trump","8/4/24",11265,3
-0.3,49,"Morning Consult","Harris","8/4/24",9952,3
-0.3,45,"Morning Consult","Trump","8/4/24",9952,3
-0.9,51,"Marist","Harris","8/4/24",1513,7
-0.9,48,"Marist","Trump","8/4/24",1513,7
-0.9,48,"Marist","Harris","8/4/24",1513,7
-0.9,45,"Marist","Trump","8/4/24",1513,7
-0.9,5,"Marist","Kennedy","8/4/24",1513,7
-0.9,0,"Marist","West","8/4/24",1513,7
-0.9,1,"Marist","Stein","8/4/24",1513,7
-0.9,0,"Marist","Oliver","8/4/24",1513,7
-0.7,46,"Hart/POS","Harris","8/4/24",1001,4
-0.7,48,"Hart/POS","Trump","8/4/24",1001,4
-0.1,49,"HarrisX","Harris","8/3/24",1011,6
-0.1,51,"HarrisX","Trump","8/3/24",1011,6
-0.1,46,"HarrisX","Harris","8/3/24",1011,6
-0.1,44,"HarrisX","Trump","8/3/24",1011,6
-0.1,9,"HarrisX","Kennedy","8/3/24",1011,6
-0.1,45,"HarrisX","Harris","8/3/24",1011,6
-0.1,44,"HarrisX","Trump","8/3/24",1011,6
-0.1,9,"HarrisX","Kennedy","8/3/24",1011,6
-0.1,1,"HarrisX","West","8/3/24",1011,6
-0.1,1,"HarrisX","Stein","8/3/24",1011,6
-0.3,47,"Morning Consult","Harris","8/3/24",4000,3
-0.3,44,"Morning Consult","Trump","8/3/24",4000,3
-0.3,48,"Morning Consult","Harris","8/3/24",9394,3
-0.3,46,"Morning Consult","Trump","8/3/24",9394,3
0.4,44,"Redfield & Wilton Strategies","Harris","8/3/24",567,9
0.4,43,"Redfield & Wilton Strategies","Trump","8/3/24",567,9
0.4,4,"Redfield & Wilton Strategies","Kennedy","8/3/24",567,9
0.4,0,"Redfield & Wilton Strategies","Oliver","8/3/24",567,9
0.4,0,"Redfield & Wilton Strategies","Stein","8/3/24",567,9
0.4,41,"Redfield & Wilton Strategies","Harris","8/3/24",976,9
0.4,47,"Redfield & Wilton Strategies","Trump","8/3/24",976,9
0.4,5,"Redfield & Wilton Strategies","Kennedy","8/3/24",976,9
0.4,1,"Redfield & Wilton Strategies","Oliver","8/3/24",976,9
0.4,0,"Redfield & Wilton Strategies","Stein","8/3/24",976,9
0.4,44,"Redfield & Wilton Strategies","Harris","8/3/24",1128,9
0.4,46,"Redfield & Wilton Strategies","Trump","8/3/24",1128,9
0.4,3,"Redfield & Wilton Strategies","Kennedy","8/3/24",1128,9
0.4,0,"Redfield & Wilton Strategies","Oliver","8/3/24",1128,9
0.4,1,"Redfield & Wilton Strategies","Stein","8/3/24",1128,9
0.4,41,"Redfield & Wilton Strategies","Harris","8/3/24",771,9
0.4,42,"Redfield & Wilton Strategies","Trump","8/3/24",771,9
0.4,5,"Redfield & Wilton Strategies","Kennedy","8/3/24",771,9
0.4,0,"Redfield & Wilton Strategies","Oliver","8/3/24",771,9
0.4,1,"Redfield & Wilton Strategies","Stein","8/3/24",771,9
0.4,46,"Redfield & Wilton Strategies","Harris","8/3/24",538,9
0.4,41,"Redfield & Wilton Strategies","Trump","8/3/24",538,9
0.4,3,"Redfield & Wilton Strategies","Kennedy","8/3/24",538,9
0.4,0,"Redfield & Wilton Strategies","Oliver","8/3/24",538,9
0.4,0,"Redfield & Wilton Strategies","Stein","8/3/24",538,9
0.4,40,"Redfield & Wilton Strategies","Harris","8/3/24",470,9
0.4,40,"Redfield & Wilton Strategies","Trump","8/3/24",470,9
0.4,5,"Redfield & Wilton Strategies","Kennedy","8/3/24",470,9
0.4,0,"Redfield & Wilton Strategies","Oliver","8/3/24",470,9
0.4,1,"Redfield & Wilton Strategies","Stein","8/3/24",470,9
0.4,44,"Redfield & Wilton Strategies","Harris","8/3/24",493,9
0.4,37,"Redfield & Wilton Strategies","Trump","8/3/24",493,9
0.4,8,"Redfield & Wilton Strategies","Kennedy","8/3/24",493,9
0.4,0,"Redfield & Wilton Strategies","Oliver","8/3/24",493,9
0.4,0,"Redfield & Wilton Strategies","Stein","8/3/24",493,9
0.4,41,"Redfield & Wilton Strategies","Harris","8/3/24",714,9
0.4,44,"Redfield & Wilton Strategies","Trump","8/3/24",714,9
0.4,4,"Redfield & Wilton Strategies","Kennedy","8/3/24",714,9
0.4,1,"Redfield & Wilton Strategies","Oliver","8/3/24",714,9
0.4,0,"Redfield & Wilton Strategies","Stein","8/3/24",714,9
0.4,44,"Redfield & Wilton Strategies","Harris","8/3/24",743,9
0.4,46,"Redfield & Wilton Strategies","Trump","8/3/24",743,9
0.4,3,"Redfield & Wilton Strategies","Kennedy","8/3/24",743,9
0.4,0,"Redfield & Wilton Strategies","Oliver","8/3/24",743,9
0.4,0,"Redfield & Wilton Strategies","Stein","8/3/24",743,9
0.4,43,"Redfield & Wilton Strategies","Harris","8/3/24",597,9
0.4,43,"Redfield & Wilton Strategies","Trump","8/3/24",597,9
0.4,3,"Redfield & Wilton Strategies","Kennedy","8/3/24",597,9
0.4,0,"Redfield & Wilton Strategies","Oliver","8/3/24",597,9
0.4,0,"Redfield & Wilton Strategies","Stein","8/3/24",597,9
-0.4,46,"TIPP","Harris","8/2/24",1326,3
-0.4,45,"TIPP","Trump","8/2/24",1326,3
-0.4,44,"TIPP","Harris","8/2/24",1326,3
-0.4,42,"TIPP","Trump","8/2/24",1326,3
-0.4,7,"TIPP","Kennedy","8/2/24",1326,3
-0.4,1,"TIPP","West","8/2/24",1326,3
-0.4,1,"TIPP","Stein","8/2/24",1326,3
-0.3,47,"Morning Consult","Harris","8/2/24",4000,3
-0.3,45,"Morning Consult","Trump","8/2/24",4000,3
-0.3,48,"Morning Consult","Harris","8/2/24",9250,3
-0.3,46,"Morning Consult","Trump","8/2/24",9250,3
-1.1,50,"YouGov","Harris","8/2/24",3092,9
-1.1,49,"YouGov","Trump","8/2/24",3092,9
-1.1,49,"YouGov","Harris","8/2/24",3092,9
-1.1,47,"YouGov","Trump","8/2/24",3092,9
-1.1,2,"YouGov","Kennedy","8/2/24",3092,9
-1.1,0,"YouGov","West","8/2/24",3092,9
-1.1,0,"YouGov","Stein","8/2/24",3092,9
-1.1,0,"YouGov","Oliver","8/2/24",3092,9
-0.3,46,"Morning Consult","Harris","8/1/24",4000,3
-0.3,45,"Morning Consult","Trump","8/1/24",4000,3
-0.3,48,"Morning Consult","Harris","8/1/24",9589,3
-0.3,46,"Morning Consult","Trump","8/1/24",9589,3
-0.4,46,"UMass Amherst/YouGov","Harris","8/1/24",1000,7.5
-0.4,43,"UMass Amherst/YouGov","Trump","8/1/24",1000,7.5
-0.4,6,"UMass Amherst/YouGov","Kennedy","8/1/24",1000,7.5
-0.1,48,"Fabrizio","Harris","8/1/24",600,6
-0.1,48,"Fabrizio","Trump","8/1/24",600,6
-0.1,45,"Fabrizio","Harris","8/1/24",600,6
-0.1,45,"Fabrizio","Trump","8/1/24",600,6
-0.1,4,"Fabrizio","Kennedy","8/1/24",600,6
-0.8,53,"Siena","Harris","8/1/24",1199,7
-0.8,39,"Siena","Trump","8/1/24",1199,7
-0.8,49,"Siena","Harris","8/1/24",1199,7
-0.8,37,"Siena","Trump","8/1/24",1199,7
-0.8,7,"Siena","Kennedy","8/1/24",1199,7
-0.8,2,"Siena","Stein","8/1/24",1199,7
-0.8,1,"Siena","Oliver","8/1/24",1199,7
-0.8,1,"Siena","West","8/1/24",1199,7
-1.1,49,"Marquette Law School","Harris","8/1/24",877,10
-1.1,50,"Marquette Law School","Trump","8/1/24",877,10
-1.1,50,"Marquette Law School","Harris","8/1/24",801,10
-1.1,49,"Marquette Law School","Trump","8/1/24",801,10
-1.1,45,"Marquette Law School","Harris","8/1/24",877,10
-1.1,43,"Marquette Law School","Trump","8/1/24",877,10
-1.1,8,"Marquette Law School","Kennedy","8/1/24",877,10
-1.1,1,"Marquette Law School","Oliver","8/1/24",877,10
-1.1,1,"Marquette Law School","Stein","8/1/24",877,10
-1.1,0,"Marquette Law School","Terry","8/1/24",877,10
-1.1,0,"Marquette Law School","West","8/1/24",877,10
-1.1,46,"Marquette Law School","Harris","8/1/24",801,10
-1.1,45,"Marquette Law School","Trump","8/1/24",801,10
-1.1,6,"Marquette Law School","Kennedy","8/1/24",801,10
-1.1,1,"Marquette Law School","Oliver","8/1/24",801,10
-1.1,1,"Marquette Law School","Stein","8/1/24",801,10
-1.1,0,"Marquette Law School","Terry","8/1/24",801,10
-1.1,0,"Marquette Law School","West","8/1/24",801,10
-1.1,52,"Marquette Law School","Harris","8/1/24",879,10
-1.1,48,"Marquette Law School","Trump","8/1/24",879,10
-1.1,53,"Marquette Law School","Harris","8/1/24",683,10
-1.1,47,"Marquette Law School","Trump","8/1/24",683,10
-1.1,47,"Marquette Law School","Harris","8/1/24",879,10
-1.1,41,"Marquette Law School","Trump","8/1/24",879,10
-1.1,9,"Marquette Law School","Kennedy","8/1/24",879,10
-1.1,1,"Marquette Law School","Oliver","8/1/24",879,10
-1.1,2,"Marquette Law School","Stein","8/1/24",879,10
-1.1,1,"Marquette Law School","West","8/1/24",879,10
-1.1,50,"Marquette Law School","Harris","8/1/24",683,10
-1.1,42,"Marquette Law School","Trump","8/1/24",683,10
-1.1,6,"Marquette Law School","Kennedy","8/1/24",683,10
-1.1,1,"Marquette Law School","Oliver","8/1/24",683,10
-1.1,1,"Marquette Law School","Stein","8/1/24",683,10
-1.1,0,"Marquette Law School","West","8/1/24",683,10
-0.4,47,"RMG Research","Harris","7/31/24",3000,5
-0.4,42,"RMG Research","Trump","7/31/24",3000,5
-0.4,6,"RMG Research","Kennedy","7/31/24",3000,5
-0.3,46,"Morning Consult","Harris","7/31/24",4000,3
-0.3,44,"Morning Consult","Trump","7/31/24",4000,3
-0.3,48,"Morning Consult","Harris","7/31/24",9998,3
-0.3,45,"Morning Consult","Trump","7/31/24",9998,3
-0.3,44,"Fabrizio/Impact","Harris","7/31/24",600,2
-0.3,46,"Fabrizio/Impact","Trump","7/31/24",600,2
-0.3,4,"Fabrizio/Impact","Kennedy","7/31/24",600,2
-0.3,2,"Fabrizio/Impact","West","7/31/24",600,2
-0.3,1,"Fabrizio/Impact","Stein","7/31/24",600,2
-0.3,0,"Fabrizio/Impact","Oliver","7/31/24",600,2
-0.3,48,"Fabrizio/Impact","Harris","7/31/24",600,2
-0.3,48,"Fabrizio/Impact","Trump","7/31/24",600,2
0,47,"PPP","Harris","7/30/24",618,4
0,49,"PPP","Trump","7/30/24",618,4
0,47,"PPP","Harris","7/30/24",627,4
0,48,"PPP","Trump","7/30/24",627,4
0,48,"PPP","Harris","7/30/24",662,4
0,47,"PPP","Trump","7/30/24",662,4
-0.3,46,"Morning Consult","Harris","7/30/24",4000,3
-0.3,45,"Morning Consult","Trump","7/30/24",4000,3
-0.3,48,"Morning Consult","Harris","7/30/24",10119,3
-0.3,46,"Morning Consult","Trump","7/30/24",10119,3
-1.1,46,"YouGov","Harris","7/30/24",1434,9
-1.1,44,"YouGov","Trump","7/30/24",1434,9
-1.1,3,"YouGov","Kennedy","7/30/24",1434,9
-1.1,0,"YouGov","West","7/30/24",1434,9
-1.1,0,"YouGov","Stein","7/30/24",1434,9
-0.2,49,"Civiqs","Harris","7/30/24",1123,8
-0.2,45,"Civiqs","Trump","7/30/24",1123,8
0.1,50,"GQR","Harris","7/30/24",500,5.5
0.1,46,"GQR","Trump","7/30/24",500,5.5
0.1,2,"GQR","Oliver","7/30/24",500,5.5
0.4,45,"Redfield & Wilton Strategies","Harris","7/29/24",1750,9
0.4,43,"Redfield & Wilton Strategies","Trump","7/29/24",1750,9
0.4,5,"Redfield & Wilton Strategies","Kennedy","7/29/24",1750,9
0.4,0,"Redfield & Wilton Strategies","Oliver","7/29/24",1750,9
0.4,0,"Redfield & Wilton Strategies","Stein","7/29/24",1750,9
-0.3,46,"Morning Consult","Harris","7/29/24",4000,3
-0.3,45,"Morning Consult","Trump","7/29/24",4000,3
-0.3,48,"Morning Consult","Harris","7/29/24",10354,3
-0.3,46,"Morning Consult","Trump","7/29/24",10354,3
1.6,45,"McLaughlin","Harris","7/29/24",1000,4
1.6,47,"McLaughlin","Trump","7/29/24",1000,4
1.6,41,"McLaughlin","Harris","7/29/24",1000,4
1.6,42,"McLaughlin","Trump","7/29/24",1000,4
1.6,8,"McLaughlin","Kennedy","7/29/24",1000,4
1.6,1,"McLaughlin","West","7/29/24",1000,4
1.6,1,"McLaughlin","Stein","7/29/24",1000,4
1.6,1,"McLaughlin","Oliver","7/29/24",1000,4
0.3,43,"Public Opinion Strategies","Harris","7/29/24",400,3
0.3,48,"Public Opinion Strategies","Trump","7/29/24",400,3
0.3,45,"Public Opinion Strategies","Harris","7/29/24",400,3
0.3,45,"Public Opinion Strategies","Trump","7/29/24",400,3
0.3,45,"Public Opinion Strategies","Harris","7/29/24",400,3
0.3,46,"Public Opinion Strategies","Trump","7/29/24",400,3
0.3,48,"Public Opinion Strategies","Harris","7/29/24",400,3
0.3,45,"Public Opinion Strategies","Trump","7/29/24",400,3
0.3,48,"Public Opinion Strategies","Harris","7/29/24",400,3
0.3,46,"Public Opinion Strategies","Trump","7/29/24",400,3
-0.3,47,"Morning Consult","Harris","7/28/24",11538,3
-0.3,46,"Morning Consult","Trump","7/28/24",11538,3
-0.3,48,"Morning Consult","Harris","7/28/24",10106,3
-0.3,46,"Morning Consult","Trump","7/28/24",10106,3
-0.1,48,"HarrisX/Harris Poll","Harris","7/28/24",2196,7
-0.1,52,"HarrisX/Harris Poll","Trump","7/28/24",2196,7
-0.1,44,"HarrisX/Harris Poll","Harris","7/28/24",2196,7
-0.1,47,"HarrisX/Harris Poll","Trump","7/28/24",2196,7
-0.1,10,"HarrisX/Harris Poll","Kennedy","7/28/24",2196,7
-0.1,43,"HarrisX/Harris Poll","Harris","7/28/24",2196,7
-0.1,47,"HarrisX/Harris Poll","Trump","7/28/24",2196,7
-0.1,8,"HarrisX/Harris Poll","Kennedy","7/28/24",2196,7
-0.1,1,"HarrisX/Harris Poll","Stein","7/28/24",2196,7
-0.1,1,"HarrisX/Harris Poll","West","7/28/24",2196,7
-0.9,43,"Ipsos","Harris","7/28/24",876,9.5
-0.9,42,"Ipsos","Trump","7/28/24",876,9.5
-1.1,52.4,"Emerson","Harris","7/28/24",1000,7
-1.1,47.6,"Emerson","Trump","7/28/24",1000,7
-1.1,47.7,"Emerson","Harris","7/28/24",1000,7
-1.1,41.4,"Emerson","Trump","7/28/24",1000,7
-1.1,5.8,"Emerson","Kennedy","7/28/24",1000,7
-1.1,0.3,"Emerson","West","7/28/24",1000,7
-1.1,0.8,"Emerson","Stein","7/28/24",1000,7
0,48,"Leger","Harris","7/28/24",786,9
0,41,"Leger","Trump","7/28/24",786,9
0,5,"Leger","Kennedy","7/28/24",786,9
0,1,"Leger","West","7/28/24",786,9
0,1,"Leger","Stein","7/28/24",786,9
0.2,49.4,"Big Data Poll","Harris","7/28/24",3097,7
0.2,50.6,"Big Data Poll","Trump","7/28/24",3097,7
0.2,49.5,"Big Data Poll","Harris","7/28/24",2919,7
0.2,50.5,"Big Data Poll","Trump","7/28/24",2919,7
0.2,46.2,"Big Data Poll","Harris","7/28/24",3097,7
0.2,47.2,"Big Data Poll","Trump","7/28/24",3097,7
0.2,47.2,"Big Data Poll","Harris","7/28/24",2919,7
0.2,47.9,"Big Data Poll","Trump","7/28/24",2919,7
0.2,44.8,"Big Data Poll","Harris","7/28/24",3097,7
0.2,45.6,"Big Data Poll","Trump","7/28/24",3097,7
0.2,5.9,"Big Data Poll","Kennedy","7/28/24",3097,7
0.2,45.8,"Big Data Poll","Harris","7/28/24",2919,7
0.2,46.4,"Big Data Poll","Trump","7/28/24",2919,7
0.2,5.5,"Big Data Poll","Kennedy","7/28/24",2919,7
0.2,43,"Big Data Poll","Harris","7/28/24",3097,7
0.2,43.8,"Big Data Poll","Trump","7/28/24",3097,7
0.2,5.8,"Big Data Poll","Kennedy","7/28/24",3097,7
0.2,1.1,"Big Data Poll","Oliver","7/28/24",3097,7
0.2,1.2,"Big Data Poll","West","7/28/24",3097,7
0.2,0.8,"Big Data Poll","Stein","7/28/24",3097,7
0.2,44.2,"Big Data Poll","Harris","7/28/24",2919,7
0.2,44.7,"Big Data Poll","Trump","7/28/24",2919,7
0.2,5.5,"Big Data Poll","Kennedy","7/28/24",2919,7
0.2,1,"Big Data Poll","Oliver","7/28/24",2919,7
